gebruikersnaam;user1;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam2;user2;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam3;user3;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam4;user4;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam5;user5;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam6;user6;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam7;user7;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam8;user8;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam9;user9;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam10;user10;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam;user1;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam2;user2;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam3;user3;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam4;user4;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam5;user5;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam6;user6;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam7;user7;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam8;user8;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam9;user9;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam10;user10;a;a;a@a.a;a@a.a;a;a;123456789;987654321
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;a;a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;1,00E+19;a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;@;a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;"insert""\";a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;"#\""""""";a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;"""""";a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;a;a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;a;a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;a;a
gebruikersnaam11;user11;a;a;a@a.a;a@a.a;a;a;a;a
null;null;null;null;null;null;null;null;0;0
